key,app_date,app_type,app_status,lat,long
191,1/2/14,COMM TENANT IMPROVEMENT,APPROVED,45.679685,-111.037071
192,7/30/13,RES ALTERATION,APPROVED,45.681574,-111.042504
193,7/26/13,RES SINGLE FAMILY DWELLING,APPROVED,45.694428,-111.07524
194,7/26/13,RES ALTERATION,APPROVED,45.675094,-111.038454
195,7/26/13,RES ALTERATION,APPROVED,45.674554,-111.038351
196,7/23/13,COMM STRUCTURES OTHER THAN BLD,APPROVED,45.700293,-111.049403
197,7/23/13,RES ALTERATION,APPROVED,45.67662,-111.050987
198,7/23/13,FIRE SUPRESSION SYSTEMS PERMIT,APPROVED,45.67158,-111.049635
199,7/22/13,RES SINGLE FAMILY DWELLING,APPROVED,45.645925,-111.054976
200,7/19/13,RES SINGLE FAMILY DWELLING,APPROVED,45.702871,-111.098297
201,7/18/13,RES SINGLE FAMILY DWELLING,APPROVED,45.706244,-111.003302
202,7/18/13,RES SINGLE FAMILY DWELLING,APPROVED,45.704083,-111.004124
203,7/18/13,RES SINGLE FAMILY DWELLING,APPROVED,45.703273,-111.004856
204,8/18/03,RES ALTERATION,APPROVED,45.681125,-111.038176
205,7/18/13,RES ALTERATION,APPROVED,45.677439,-111.023189
206,7/18/13,RESIDENTIAL REROOF,APPROVED,45.677064,-111.062955
207,2/27/14,RES SINGLE FAMILY DWELLING,APPROVED,45.646639,-111.065859
208,7/18/13,RES SINGLE FAMILY DWELLING,APPROVED,45.647994,-111.056236
209,7/17/13,RES 5+ UNITS,APPROVED,45.692504,-111.115707
210,2/26/14,RES ATTACHED SFD,APPROVED,45.69992,-111.073038
211,12/31/13,COMM TENANT IMPROVEMENT,APPROVED,45.680677,-111.032552
212,7/17/13,RES ALTERATION,APPROVED,45.661058,-111.019396
213,12/30/13,RES SINGLE FAMILY DWELLING,APPROVED,45.703596,-111.092736
214,12/30/13,COMM TENANT IMPROVEMENT,APPROVED,45.700293,-111.049403
215,12/30/13,COMM TENANT IMPROVEMENT,APPROVED,45.682702,-111.106596
216,7/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.642132,-111.077249
217,7/12/13,RES SINGLE FAMILY DWELLING,APPROVED,45.644834,-111.073223
218,7/11/13,FENCE,APPROVED,45.681217,-111.033014
219,7/11/13,RES ALTERATION,APPROVED,45.672118,-111.053564
220,7/10/13,ELECTRIC ONLY,APPROVED,45.683336,-111.101846
221,7/9/13,RES ALTERATION,APPROVED,45.683193,-111.043609
222,7/9/13,RES SINGLE FAMILY DWELLING,APPROVED,45.681669,-111.025464
223,12/30/13,ELECTRIC ONLY,APPROVED,45.679594,-111.039446
224,2/26/14,RES ATTACHED SFD,APPROVED,45.69983,-111.073231
225,7/9/13,COMM TENANT IMPROVEMENT,APPROVED,45.67158,-111.049635
226,2/26/14,RES ATTACHED SFD,APPROVED,45.69983,-111.072845
227,7/8/13,RES SINGLE FAMILY DWELLING,APPROVED,45.683335,-111.102732
228,7/8/13,RESIDENTIAL REROOF,APPROVED,45.673204,-111.038466
229,7/20/01,RES SINGLE FAMILY DWELLING,APPROVED,45.692179,-111.073259
230,4/11/14,PLUMBING ONLY,APPROVED,45.677529,-111.022034
231,7/8/13,RES GARAGES & CARPORTS,APPROVED,45.671671,-111.046348
232,7/5/13,RES ALTERATION,APPROVED,45.684368,-111.02874
233,3/18/14,RES ALTERATION,APPROVED,45.676986,-111.032601
234,7/2/13,RES SINGLE FAMILY DWELLING,APPROVED,45.701165,-111.093464
235,7/2/13,COMM ALTERATION,APPROVED,45.695259,-111.029516
236,7/2/13,RES SINGLE FAMILY DWELLING,APPROVED,45.66902,-111.106749
237,7/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.704714,-111.003045
238,6/28/13,MECHANICAL ONLY,APPROVED,45.63819,-111.041201
239,6/27/13,RES SINGLE FAMILY DWELLING,APPROVED,45.686698,-111.056043
240,6/27/13,RES SINGLE FAMILY DWELLING,APPROVED,45.686698,-111.055812
241,6/27/13,RES SINGLE FAMILY DWELLING,APPROVED,45.686698,-111.055658
242,6/27/13,COMM TENANT IMPROVEMENT,APPROVED,45.672172,-111.105651
243,6/27/13,RES SINGLE FAMILY DWELLING,APPROVED,45.666409,-111.108375
244,6/25/13,COMM TENANT IMPROVEMENT,APPROVED,45.686436,-111.037024
245,6/25/13,RES SINGLE FAMILY DWELLING,APPROVED,45.683196,-111.036662
246,6/24/13,RES SINGLE FAMILY DWELLING,APPROVED,45.701158,-111.10157
247,6/21/13,SIGN PERMIT,APPROVED,45.680676,-111.035171
248,12/30/13,MECHANICAL ONLY,APPROVED,45.678775,-111.060594
249,12/30/13,PLUMBING ONLY,APPROVED,45.677979,-111.020121
250,8/27/03,RES ALTERATION,APPROVED,45.672663,-111.041316
251,6/21/13,RES ALTERATION,APPROVED,45.670235,-111.03501
252,6/20/13,RES GARAGES & CARPORTS,APPROVED,45.692504,-111.115707
253,6/20/13,COMM TENANT IMPROVEMENT,APPROVED,45.675999,-111.021712
254,12/30/13,PLUMBING ONLY,APPROVED,45.675711,-111.066715
255,2/26/14,RES ATTACHED SFD,APPROVED,45.699738,-111.075144
256,4/9/03,RESIDENTIAL REROOF,APPROVED,45.684906,-111.035251
257,12/26/13,COMM TENANT IMPROVEMENT,APPROVED,45.679591,-111.047883
258,6/20/13,RES SINGLE FAMILY DWELLING,APPROVED,45.646113,-111.032544
259,6/20/13,RES SINGLE FAMILY DWELLING,APPROVED,45.645753,-111.032608
260,6/20/13,RES SINGLE FAMILY DWELLING,APPROVED,45.645753,-111.032608
261,6/20/13,RES SINGLE FAMILY DWELLING,APPROVED,45.645753,-111.032621
262,6/19/13,COMM AMUSEMENT & RECREATIONAL,APPROVED,45.67231,-111.008615
263,6/19/13,COMM OTHER NON-RESIDENTIAL BLD,APPROVED,45.67231,-111.008615
264,6/19/13,RES 5+ UNITS,APPROVED,45.67213,-111.008178
265,2/26/14,RES ATTACHED SFD,APPROVED,45.69965,-111.072896
266,2/26/14,RES ATTACHED SFD,APPROVED,45.699558,-111.075196
267,2/26/14,RES ATTACHED SFD,APPROVED,45.694159,-111.074045
268,4/7/14,PLUMBING ONLY,APPROVED,45.670582,-111.065207
269,2/26/14,RES ATTACHED SFD,APPROVED,45.694069,-111.074058
270,4/7/14,RESIDENTIAL REROOF,APPROVED,45.688579,-111.072124
271,6/19/13,RES 5+ UNITS,APPROVED,45.67186,-111.007819
272,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.676771,-111.096197
273,12/24/13,RES SINGLE FAMILY DWELLING,APPROVED,45.690009,-111.08764
274,12/24/13,"COMM HOTEL, MOTELS",APPROVED,45.680676,-111.036584
275,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.67677,-111.096531
276,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.67677,-111.096531
277,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.6765,-111.096209
278,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.6765,-111.09653
279,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.6765,-111.09653
280,12/24/13,COMM TENANT IMPROVEMENT,APPROVED,45.671826,-111.089204
281,3/18/14,COMM TENANT IMPROVEMENT,APPROVED,45.671491,-111.047593
282,6/17/13,RES SINGLE FAMILY DWELLING,APPROVED,45.676231,-111.096145
283,12/24/13,ELECTRIC ONLY,APPROVED,45.64863,-111.04321
284,3/17/14,RES ALTERATION,APPROVED,45.664562,-111.042003
